WORKOUTID,TITLE,GENRES
1410,Pros Only,Electronic
1411,Girl Power,Pop|R&B/Soul/Jazz
1412,Rock The Ages,Rock
1413,Rapattack,Hip Hop
1415,Quick Hits,Rock
1416,Quick Hits,Hip Hop
1417,Fun Size Halloworkit,Classical/Musical
1418,Mighty Musicals,Classical/Musical
1419,Joy,Pop
1420,Freedom Rock,Rock
1424,Quick Hits,R&B/Soul/Jazz
1425,Quick Hits,Pop|Hip Hop
1443,Rock Hard,Rock
1444,Fun Size Halloworkit,Rock
1445,Quick Hits,Pop
1446,A Call To Arms,Rock
1448,Gratitude,Pop|R&B/Soul/Jazz
1449,Freedom Rock,Rock
1450,Pop Till You Drop,Pop
1451,Self Love,Electronic|Latin/Reggae/World
1453,Quick Hits,R&B/Soul/Jazz
1454,Joy,Pop
1458,Power,Rock
1459,Fun Size Halloworkit,Electronic
1461,Pop Till You Punk,Rock
1462,Monster,Classical/Musical
1464,Hip Hop You Don't Stop,Hip Hop
1465,Freedom Rock,Rock
1466,Pop Till You Drop,Pop
1467,Rapattack,Hip Hop
1468,"Pump, You Up 90s",Pop|Electronic
1469,Rap-ture,Pop|Hip Hop
1470,Quick Hits,Rock
1471,Y2K Babyyy,Pop|Rock|Electronic
1473,Quick Hits,Rock
1474,Quick Hits,Rock|R&B/Soul/Jazz
1475,Super Monster,Pop
1476,Just Dance,Pop|Electronic
1477,Self Love,Pop|Rock
1478,Quick Hits,Rock
1479,Mood Booster,Pop
1482,Rap-ture,Pop|Hip Hop
1483,Self Love,Pop|Electronic|R&B/Soul/Jazz
1484,Fuego,Pop|Latin/Reggae/World
1485,Quick Hits,R&B/Soul/Jazz
1486,Quick Hits,Electronic
1487,Strut,Rock
1488,Game Time,Hip Hop
1489,The Drop,Electronic
1491,Shower Songs,Pop|R&B/Soul/Jazz
1492,Self Love,Pop|R&B/Soul/Jazz
1497,Superfreak,R&B/Soul/Jazz
1498,Sweaty Flannel,Rock
1499,Glutacious,Hip Hop
1500,Self Love,Rock|Country
1502,Quick Hits,Rock
1503,Quick Hits,Rock
1504,Quick Hits,Pop|Electronic
1505,Retrofit,Pop|Rock
1506,Hip Hop You Don't Stop,Hip Hop|R&B/Soul/Jazz
1507,Monster,Pop|Rock
1508,Y2K Babyyy,Hip Hop
1510,Quick Hits,Pop
1511,Quick Hits,Pop|Rock
1513,Sweat Symphony,Classical/Musical
1514,Just Dance,Electronic|R&B/Soul/Jazz
1515,Take The Stage,Classical/Musical
1517,Power,Hip Hop
1518,Rock Hard,Rock
1519,The Drop,Electronic
1522,Molten Rock,Rock
1523,Strut,Pop|Rock
1524,Guilty Pleasures,Pop
1525,Just Dance,Electronic
1526,Quick Hits,No Genre
1527,Quick Hits,No Genre
1529,Rap-ture,No Genre
1530,Hair Brained,Rock
1531,Merry,Pop
1532,Power,Pop|Rock
1533,Monster,No Genre
1534,Fuego,Latin/Reggae/World
1535,Superfreak,R&B/Soul/Jazz
1536,Pop Till You Punk,Rock
1537,"Pump, You Up 90s",Pop|Rock
1538,Just Dance,No Genre
1539,This Year: Be You,No Genre
1540,Quick Hits,Rock
1541,Quick Hits,Hip Hop
1542,Quick Hits,No Genre
1543,Disney Hits,No Genre
1545,Quick Hits,Electronic|R&B/Soul/Jazz
1546,Quick Hits,R&B/Soul/Jazz
1555,Abs-o’licious,Pop|R&B/Soul/Jazz
1556,A Call To Arms,Electronic
1557,Pop Till You Drop,Pop
1558,Mood Booster,No Genre
1559,Retrofit,Pop|Rock
1560,Smooth Sailing,No genre
1564,Rapattack,Hip Hop
1565,Quick Hits,Classical/Musical
1566,Merry,Classical/Musical
1567,Glutacious,Pop|Electronic|R&B/Soul/Jazz
1568,Break Stuff,Rock
1569,Monster,Electronic
1570,Broken Dreams Team,Rock
1572,Quick Hits,Electronic
1573,Quick Hits,Pop
1574,Pop Till You Drop,Pop
1575,Mood Booster,Pop|Rock
1581,Self Love,No Genre
1584,Freedom Rock,Rock
1585,Sweat Symphony,Classical/Musical
1586,Hip Hop You Don't Stop,Pop|Hip Hop
1587,Punk You,Rock
1588,Nouveau Disco,Pop|R&B/Soul/Jazz
1589,Joy,No Genre
